time,row,col,team_icecon,bootstrap_icecon,visual_ice,melt_frac,thin_ice_frac,water_frac,land_frac,snow_frac,sea_ice_se,melt_se,thin_ice_se,water_se,cloud_qa_pixels,total_pixels,sensor,area,expected_area,coverage_frac,x,y,month,year,dayofyear,distance,visual_icecon,team_error,bootstrap_error
2019-05-09,257,250,0.06,0.0,7.465323183529339e-05,8.891606633239728e-05,0.0001002729486627,0.9997361577531696,0.0,0.0,1.0505757761288288e-05,1.1465431261308795e-05,1.2175586108596531e-05,1.974889707642572e-05,0.0,676328.5748245138,Sentinel2,604826379.4535501,608923476.1851654,0.9932715737003882,2587500.0,-412500.0,5,2019,129,33347.5228686381,0.0001635692981676,0.0598364307018323,-0.0001635692981676
2022-05-10,96,293,0.952,0.925,0.3608845996410793,7.991907792855152e-05,2.4015258020599603e-05,2.4015258020599603e-05,0.0,0.638987450764951,1.0213099791076729e-05,8.072314098744228e-06,4.42537501125102e-06,4.42537501125102e-06,0.0,1226191.235566097,Landsat8,624269023.9691186,628991245.9544678,0.9924923883826342,-1437500.0,-1487500.0,5,2022,130,7555.128193940305,0.9998669561040386,-0.0478669561040386,-0.0748669561040386
2018-04-13,199,205,1.0,1.0,0.9722782827909692,0.0153848196410731,0.0100864329539696,0.0022504646139881,0.0,0.0,9.777564445493644e-05,9.62948334904482e-05,6.383347734649165e-05,5.438336752309394e-05,0.0,720741.2338961595,Sentinel2,643761776.8635384,649151777.4050903,0.9916968562219796,1137500.0,712500.0,4,2018,103,189061.74775056803,0.9876631024320424,0.0123368975679577,0.0123368975679577
2022-10-16,68,260,0.0,0.0,0.0214209370694207,0.0239695686921445,0.3810200200351196,0.5735894742033151,0.0,0.0,0.0001739961967294,0.0001835729831628,0.0005638072497414,0.0005734437306218,0.0,691944.7643499463,Sentinel2,618699197.6362331,623238184.7755127,0.9927170907525276,-2137500.0,-662500.0,10,2022,289,3958.590620010832,0.0453905057615652,-0.0453905057615652,-0.0453905057615652
2016-04-28,169,267,0.992,0.958,0.1852434069597158,0.0004966287895276,3.031539812239362e-05,2.86041406166931e-05,0.0003337011988303,0.8138673435131871,7.755719364597078e-06,6.874666102673021e-06,3.5175574882348957e-06,3.4376661458508933e-06,77.0,2373380.7453372073,Landsat8,651472253.2721741,657137871.6356812,0.99137834142871,387500.0,-837500.0,4,2016,119,0.0,0.9996828855218918,-0.0076828855218917,-0.0416828855218918
2018-05-04,117,252,1.0,0.976,0.9996390282773838,0.0002240748156004,6.697983020509693e-05,6.991707681064682e-05,0.0,0.0,2.217336549579519e-05,1.7501561857044845e-05,9.592267958117872e-06,9.74683227234479e-06,0.0,727781.1010132192,Sentinel2,649878638.6081492,655486755.1552734,0.991444348031417,-912500.0,-462500.0,5,2018,124,133868.68806037636,0.9998631030929842,0.0001368969070157,-0.0238631030929842
2021-04-11,148,363,0.008,0.0,0.006718449677754,0.0118486845338566,0.0152288534426807,0.7611188800828192,0.0429158044015533,0.1621693278613358,5.788768268060714e-05,8.48601139226081e-05,0.0001001391996625,0.0001111354262397,0.0,722637.7513975792,Sentinel2,578962436.1449683,582290277.4703312,0.994284910028345,-137500.0,-3237500.0,4,2021,101,25974.353954145085,0.0233573870173868,-0.0153573870173868,-0.0233573870173868
2022-10-08,265,289,0.0,0.0,8.388265689159084e-05,9.822950510330336e-05,0.000111535545297,0.999706352292708,0.0,0.0,1.1329733042648156e-05,1.2260124892245262e-05,1.2981254167851293e-05,2.1137595530685093e-05,0.0,653403.6471357542,Sentinel2,584548847.8704358,588036879.6547699,0.9940683451922576,2787500.0,-1387500.0,10,2022,281,47561.89998246383,0.0001821121619948,-0.0001821121619948,-0.0001821121619948
2018-04-20,202,193,1.0,1.0,0.9662650087786856,0.0249146079211809,0.0078146892883762,0.0010056940117571,0.0,0.0,6.606062491546558e-05,7.589704992907691e-05,5.887099017316406e-05,3.682993764711387e-05,0.0,714386.8967675456,Sentinel2,638214888.4256669,643410646.9070435,0.9919246619459078,1212500.0,1012500.0,4,2018,110,45362.05206185375,0.9911796166998664,0.0088203833001334,0.0088203833001334
2018-08-14,62,323,0.0,0.0,0.0009518927879907,0.0010033639842206,0.0022485204605524,0.995796222767236,0.0,0.0,3.827798101308201e-05,3.9256592714213097e-05,4.869302156497607e-05,7.208139550957175e-05,0.0,648787.2546018196,Sentinel2,580766826.8430544,584146052.1972656,0.9942151019569502,-2287500.0,-2237500.0,8,2018,226,176223.02186700993,0.0019552567722113,-0.0019552567722113,-0.0019552567722113
2021-09-02,193,297,0.0,0.0,7.329552323648972e-05,8.755852195167142e-05,9.897355925282392e-05,0.9997401723955592,0.0,0.0,1.03171329323462e-05,1.1276304794950213e-05,1.1988741074728902e-05,1.942362644147979e-05,0.0,688529.8252709258,Sentinel2,615389622.524801,635267083.4677429,0.9687100725659568,987500.0,-1587500.0,9,2021,245,227422.8118168429,0.0001608540451881,-0.0001608540451881,-0.0001608540451881
2018-08-01,97,279,0.732,0.927,0.1191239383602198,0.809771286387551,0.0244712670468314,0.0464426054601796,0.0001599292113853,3.0973533832840966e-05,0.0001972149907794,0.0002067307602093,0.0001206895462711,0.0001115642153753,0.0,707371.7852090179,Sentinel2,631953561.7168968,636934098.8134766,0.9921804514692212,-1412500.0,-1137500.0,8,2018,213,0.0,0.9290725872551848,-0.1970725872551848,-0.0020725872551847
2018-06-11,142,167,0.96,1.0,0.8176847235819045,0.155489393191837,0.0134149826171578,0.0134109006091005,0.0,0.0,0.0004156502439197,0.0003941865279278,0.0001358750998858,0.0001358564735977,0.0,711354.4103834543,Landsat8,635433006.1596866,640532615.1794434,0.99203848656742,-287500.0,1662500.0,6,2018,162,28083.899133095652,0.9731741167737414,-0.0131741167737414,0.0268258832262585
2016-03-30,175,334,0.8240000000000001,0.934,0.8390270466625622,0.077506877148434,0.0278158697173257,0.055650206471678,0.0,0.0,0.0002271018023188,0.0001920435223116,0.0001284326969544,0.0002140136737282,0.0,678260.3854130658,Landsat8,606768359.3646398,610926074.370636,0.9931944057056667,537500.0,-2512500.0,3,2016,90,73270.21627475625,0.9165339238109962,-0.0925339238109961,0.0174660761890038
