time,row,col,team_icecon,bootstrap_icecon,visual_ice,melt_frac,thin_ice_frac,water_frac,land_frac,snow_frac,sea_ice_se,melt_se,thin_ice_se,water_se,cloud_qa_pixels,total_pixels,sensor,area,expected_area,coverage_frac,x,y,month,year,dayofyear,distance,visual_icecon,team_error,bootstrap_error,Lat,Lon,team_abs_error
2022-07-29,192,339,0.0,0.0,0.0001439811761381,0.0001600427015817,0.0001696008920428,0.9995263752302372,0.0,0.0,1.4674680976921916e-05,1.5471839152827407e-05,1.592729034701947e-05,2.659802875967574e-05,0.0,668148.5669628825,Landsat8,597419053.0400848,601288617.1537628,0.9935645478672208,962500.0,-2637500.0,7,2022,210,66792.9263269246,0.0003040238777198,-0.0003040238777198,-0.0003040238777198,64.49469250275445,-24.951512288561602,0.0003040238777198
2015-05-04,233,285,0.0,0.0,6.860973550105404e-05,8.467125922091348e-05,9.42294573666854e-05,0.9997524895479114,0.0,0.0,9.993221056793009e-06,1.110138700995244e-05,1.1711177040953704e-05,1.8979032884098645e-05,0.0,686979.7024942866,Landsat8,614167704.3340636,618560081.0177002,0.9928990298300372,1987500.0,-1287500.0,5,2015,124,45650.490683146745,0.00015328099472196752,-0.00015328099472196752,-0.00015328099472196752,68.3890164398952,12.064884476906224,0.00015328099472196752
2021-10-14,192,339,0.0,0.0,0.0006189578471866,0.0008229251848827,0.0253418410258655,0.9732162759420652,0.0,0.0,3.0189102113778094e-05,3.472585073542051e-05,0.000122506315709,0.0001203315178627,0.0,667718.6672625866,Landsat8,597419053.0400848,601288617.1537628,0.9935645478672208,962500.0,-2637500.0,10,2021,287,66792.9263269246,0.0014418830320693,-0.0014418830320693,-0.0014418830320693,64.49469250275445,-24.951512288561602,0.0014418830320693
2022-03-13,233,285,0.0,0.0,7.746256450383856e-05,0.0001223659621677,0.0116445085845806,0.988155662888748,0.0,0.0,1.0617875544067945e-05,1.333792766970422e-05,0.0001291685733724,0.0001302541193712,0.0,686979.7076838268,Landsat8,614167704.3340636,618560081.0177002,0.9928990298300372,1987500.0,-1287500.0,3,2022,72,45650.490683146745,0.00019982852667153856,-0.00019982852667153856,-0.00019982852667153856,68.3890164398952,12.064884476906224,0.00019982852667153856
2018-07-17,232,278,0.0,0.0,7.842493018743827e-05,0.0001072268072423,0.0004736470900835,0.9993407011724867,0.0,0.0,1.0643740717813962e-05,1.237706632798023e-05,1.881858939773259e-05,2.390412921578201e-05,86.0,691141.5012943323,Landsat8,618082706.5870981,622601618.1427307,0.9927418891568048,1962500.0,-1112500.0,7,2018,198,13118.313441684655,0.00018565173742973826,-0.00018565173742973826,-0.00018565173742973826,69.39116491352807,15.452010736338101,0.00018565173742973826
2016-08-29,196,338,0.0,0.0,6.821254111052698e-05,8.429075693767157e-05,9.576231955065525e-05,0.9997517343824012,0.0,0.0,1.010765337838753e-05,1.123579057193512e-05,1.188900548645893e-05,1.922156655841002e-05,0.0,667621.4577194763,Landsat8,596905333.4730201,600759333.4881439,0.9935847854535248,1062500.0,-2612500.0,8,2016,242,7665.808020039202,0.00015250329804819855,-0.00015250329804819855,-0.00015250329804819855,64.38333489116337,-22.8684950688546,0.00015250329804819855
2023-04-02,232,278,0.0,0.0,7.529466759039989e-05,0.000103686403556,0.0003027455102161,0.9995182734186372,0.0,0.0,1.0428205078736288e-05,1.2145634468233702e-05,1.5503751029985564e-05,2.1452971996038437e-05,63.48627450980392,691164.0114250522,Landsat9,618082706.5870981,622601618.1427307,0.9927418891568048,1962500.0,-1112500.0,4,2023,92,13118.313441684655,0.0001789810711463999,-0.0001789810711463999,-0.0001789810711463999,69.39116491352807,15.452010736338101,0.0001789810711463999
2024-06-10,196,338,0.0,0.0,0.0009920671771509,0.0010391171388659,0.0063528009017715,0.9916160147822116,0.0,0.0,3.8526307241931465e-05,3.941627288232965e-05,8.415490182409233e-05,9.911124975427972e-05,0.0,667105.3000680078,Landsat9,596905333.4730201,600759333.4881439,0.9935847854535248,1062500.0,-2612500.0,6,2024,162,7665.808020039202,0.0020311843160168,-0.0020311843160168,-0.0020311843160168,64.38333489116337,-22.8684950688546,0.0020311843160168
2023-08-01,192,339,0.0,0.0,6.816926030555569e-05,8.423078359293298e-05,9.378897607126817e-05,0.9997538109800304,0.0,0.0,1.0100502179330544e-05,1.1227436523723994e-05,1.184728973132625e-05,1.9192214603964125e-05,0.0,668148.5675351598,Landsat8,597419053.0400794,601288617.1537628,0.9935645478672118,962500.0,-2637500.0,8,2023,213,66792.9263269246,0.00015240004389848868,-0.00015240004389848868,-0.00015240004389848868,64.49469250275445,-24.951512288561602,0.00015240004389848868
2014-04-08,234,287,0.0,0.0,7.068435472179369e-05,8.740348173139444e-05,0.0002112669152187,0.9996306452483282,0.0,0.0,1.0155297807016396e-05,1.129188713102638e-05,1.4376204181423882e-05,2.074220538074781e-05,0.0,685131.2580839705,Landsat8,612434124.85148,616770997.170044,0.9929684237124266,2012500.0,-1337500.0,4,2014,98,39999.744133597,0.00015808783645318813,-0.00015808783645318813,-0.00015808783645318813,67.95824478259478,11.39213589014745,0.00015808783645318813
